folio,section_code,section,locator,position_code,locus_type,raw_eva,display_eva,normalized_tokens,token_count,structural_gloss,structural_confidence,speculative_english,speculative_status,page_context,ruleset_version
f1r,T,Text-only / control,f1r.1,@P0,P,<%>fachys.ykal.ar.ataiin.shol.shory.[cth:oto]res.y.kor.sholdy<!@254;>,fachys ykal ar ataiin shol shory [cth:oto]res y kor sholdy [note: @254;],fachys ykal ar ataiin shol shory cthres y kor sholdy,10,running paragraph text; paragraph opening; 10 normalized token groups. ykal: recurrent form; ar: broad high-frequency form; ataiin: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,Repeat the adjoining entry after the second measure; keep the sequence unchanged.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.2,+P0,P,"sory.ckhar.or,y.kair.chtaiin.shar.ase.cthar.cthar,dan",sory ckhar or [?break] y kair chtaiin shar ase cthar cthar [?break] dan,sory ckhar or y kair chtaiin shar ase cthar cthar dan,11,running paragraph text; continuation; 11 normalized token groups. ckhar: recurrent form; or: broad high-frequency form; y: broad high-frequency form. within-line repetition: cthar. no English lexical value established.,Moderate for form and position; zero validated English semantics,Compare the measured portion in the appointed order; keep the sequence unchanged.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.3,+P0,P,syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy,syaiir sheky or ykaiin shod cthoary cthes daraiin sy,syaiir sheky or ykaiin shod cthoary cthes daraiin sy,9,running paragraph text; continuation; 9 normalized token groups. sheky: recurrent form; or: broad high-frequency form; ykaiin: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,Join the adjoining entry in the appointed order; compare it with the following entry.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.4,+P0,P,"soiin.oteey.oteo[s:r],roloty.cthiar,daiin.okaiin.or.okan",soiin oteey oteo[s:r] [?break] roloty cthiar [?break] daiin okaiin or okan,soiin oteey oteos roloty cthiar daiin okaiin or okan,9,running paragraph text; continuation; 9 normalized token groups. soiin: line-initial tendency; oteey: broad high-frequency form; oteos: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Repeat the prepared matter before the final division; return to the opening mark.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.5,+P0,P,"sair,y.chear.cthaiin.cphar.cfhaiin",sair [?break] y chear cthaiin cphar cfhaiin,sair y chear cthaiin cphar cfhaiin,6,running paragraph text; continuation; 6 normalized token groups. sair: line-initial tendency; y: broad high-frequency form; chear: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Preserve the first account before the final division; compare it with the following entry.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.6,=Pt,P,ydaraishy<$>,ydaraishy,ydaraishy,1,running paragraph text; paragraph or sequence ending; 1 normalized token group. no English lexical value established.,Moderate for form and position; zero validated English semantics,Label: Entry or name marker.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.7,*P0,P,<%><!@252;>odar.{c'y}.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,[note: @252;] odar {c'y} shol cphoy oydar sh s cfhoaiin shodary,odar cy shol cphoy oydar sh s cfhoaiin shodary,9,running paragraph text; paragraph opening; 9 normalized token groups. odar: recurrent form; cy: recurrent form; shol: broad high-frequency form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Repeat the principal sign after the second measure; leave the final quantity apart.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.8,+P0,P,"yshey.shody.okchoy.otchol.chocthy.os,chy.dain.chor.kos",yshey shody okchoy otchol chocthy os [?break] chy dain chor kos,yshey shody okchoy otchol chocthy os chy dain chor kos,10,running paragraph text; continuation; 10 normalized token groups. yshey: line-initial tendency; shody: productive ending family; otchol: line-initial tendency. no English lexical value established.,Moderate for form and position; zero validated English semantics,Set down the prepared matter after the second measure; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.9,+P0,P,daiin.shos.cfhol.shody,daiin shos cfhol shody,daiin shos cfhol shody,4,running paragraph text; continuation; 4 normalized token groups. daiin: broad high-frequency form; shos: line-initial tendency; cfhol: recurrent form. no English lexical value established.,Moderate for form and position; zero validated English semantics,Preserve the principal sign in the appointed order; leave the final quantity apart.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
f1r,T,Text-only / control,f1r.10,=Pt,P,dain.os.teody<$>,dain os teody,dain os teody,3,running paragraph text; paragraph or sequence ending; 3 normalized token groups. dain: broad high-frequency form; os: recurrent form; teody: productive ending family. no English lexical value established.,Moderate for form and position; zero validated English semantics,Set down the measured portion beside the earlier note; retain only the clear portion.,Creative reconstruction; not a decipherment or translation,A text-dominant opening folio with later marginal additions and the historical Tepenec signature. It is used as a control because illustration-led semantics are unavailable.,pilot-0.1.0
